,ID_hecho,FECHA,ROL,VEHICULO_FALLECIDO,SEXO,EDAD,N_VICTIMAS,HORA_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO
303,2018-0017,2018-02-17,PEATON,PEATON,MASCULINO,35,1,4,AVENIDA,7,-58.46963952,-34.63070603,PEATON-AUTO,PEATON,AUTO
304,2018-0018,2018-02-17,CONDUCTOR,MOTO,MASCULINO,26,1,7,CALLE,4,-58.37207554,-34.64543658,MOTO-CARGAS,MOTO,CARGAS
305,2018-0019,2018-02-17,PEATON,PEATON,FEMENINO,80,1,12,AVENIDA,2,-58.39189441,-34.59176378,PEATON-PASAJEROS,PEATON,PASAJEROS
306,2018-0020,2018-02-19,CONDUCTOR,MOTO,MASCULINO,26,1,22,AUTOPISTA,8,-58.45012957,-34.66518343,MOTO-CARGAS,MOTO,CARGAS
307,2018-0021,2018-02-22,PEATON,PEATON,FEMENINO,62,1,10,AVENIDA,4,-58.40184094,-34.64546845,PEATON-PASAJEROS,PEATON,PASAJEROS
308,2018-0022,2018-02-24,CONDUCTOR,MOTO,MASCULINO,28,1,0,AVENIDA,4,-58.37441153,-34.63966783,MOTO-CARGAS,MOTO,CARGAS
309,2018-0023,2018-02-24,CONDUCTOR,MOTO,MASCULINO,28,1,6,CALLE,6,-58.44110156,-34.62082399,MOTO-AUTO,MOTO,AUTO
310,2018-0024,2018-02-28,PEATON,PEATON,MASCULINO,70,1,23,AVENIDA,15,-58.47087351,-34.57827342,PEATON-CARGAS,PEATON,CARGAS
311,2018-0025,2018-03-04,PEATON,PEATON,MASCULINO,70,1,22,AVENIDA,7,-58.4596221,-34.6224514,PEATON-AUTO,PEATON,AUTO
312,2018-0026,2018-03-09,CONDUCTOR,MOVIL,MASCULINO,24,2,4,AVENIDA,4,-58.41657793,-34.65476216,MOVIL-CARGAS,MOVIL,CARGAS
